IOM,FM10,2000,SV01,20002785,0,BLOCKED FOR ACQ,4600249895,20,1,07/12/2015,Vehicle,Nissan Frontier 2015 Crew Cab Red (4x4),Nissan Frontier 2015 Crew Cab Red (4x4),VN.1N6AD0EVXFN7_34,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-OFF,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,3,0,07/12/2015,01/12/2015,27564,-12250.67,15313.33,,,,,,,,0,
IOM,FM10,2000,SV01,20002786,0,BLOCKED FOR ACQ,4600249895,30,1,07/12/2015,Vehicle,Nissan Frontier 2015 Crew Cab White (4x4),Nissan Frontier 2015 Crew Cab White (4x4),VN.1N6AD0EV4FN7_46,,FM20-FM0C,"Yap, Federated States of Micronesia",YAP-OI,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,3,0,07/12/2015,01/12/2015,29940,-13306.67,16633.33,,,,,,,,0,
IOM,FM10,2000,SV01,20002881,0,BLOCKED FOR ACQ,0,0,1,16/02/2016,Vehicle,Ford 500 Sedan 2007,Vehicle,VIN#1FAHP24127G153,0,FM10-FM0A,"Pohnpei,Federated States of Micronesia",PNI-OFF,3219,Mr Charles Stuart SIMPSON,CS0397,AusAID-CADRE Program - FM1,15/12/2016,CS.0397.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,3,0,16/02/2016,01/02/2016,5531.57,-2151.16,3380.41,,,,,,,,0,
IOM,FM10,2000,SV02,20002706,0,BLOCKED FOR ACQ,4600234174,1,1,21/12/2015,Forklift,"Forklift Heli Model CPCD25-WSI 2.5T, diesel",Forklift,010251H535,0,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-OFF,0,0,DP0921,"PREPARE program-disaster response, FM10",30/06/2018,DP.0921.FM10.54.04.008,IOMY,Straight Line Dep. based on useful lives,5,0,21/12/2015,01/12/2015,17818.13,-4751.51,13066.62,,,,,,,,0,
IOM,FM10,2000,SV02,20002831,0,UNBLOCKED,4600341297,10,1,10/03/2017,Forklift,"Heli Forklift Model CPCD30-2014 3T, Diesel",Forklift,010301G3576,,FM30-FM0B,"Chuuk, Federated States of Micronesia",0,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,10/03/2017,01/03/2017,18700.89,-311.68,18389.21,,,,,,,,0,
IOM,FM10,2000,SV02,20003025,0,BLOCKED FOR ACQ,,0,1,17/01/2017,Trucks (used),Nissan ATLAS 2003 (2nd Hand) 2WD 1 ton MT,Trucks (used),CHASISH2F23-007800,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-WH,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMZ,Straight Line Dep. based on acquisition date,5,0,17/01/2017,17/01/2017,5182,-210.12,4971.88,,,,,,,,0,
IOM,FM10,2000,SV02,20003026,0,BLOCKED FOR ACQ,,0,1,17/01/2017,Trucks (used),Nissan Atlas 1997 2WD MT Blue 2door (2nd Hand),Trucks (used),CHASISK4F23-055246,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-WH,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMZ,Straight Line Dep. based on acquisition date,5,0,17/01/2017,17/01/2017,5208,-211.17,4996.83,,,,,,,,0,
IOM,FM10,2000,SV02,20003027,0,BLOCKED FOR ACQ,,0,1,17/01/2017,Trucks (used),Isuzu ELF 2010 2WD 4ton MT white 2nd Hand,Trucks (used),CHASISNPR757006775,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-WH,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMZ,Straight Line Dep. based on acquisition date,5,0,17/01/2017,17/01/2017,19080,-773.65,18306.35,,,,,,,,0,
IOM,FM10,2000,SV02,20003028,0,BLOCKED FOR ACQ,,0,1,17/01/2017,Trucks (used),Isuzu ELf 2WD 2010 4ton MT white (2nd Hand),Trucks (used),CHAS NPR75-7006773,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-WH,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMZ,Straight Line Dep. based on acquisition date,5,0,17/01/2017,17/01/2017,19080,-773.65,18306.35,,,,,,,,0,
IOM,FM10,2000,SV02,20003113,0,BLOCKED FOR ACQ,,0,1,06/12/2016,Trucks (used),"Hino Ranger Crane Truck 4Tons (MT, Diesel)","Hino Ranger Crane Truck 4Tons (MT, Diesel)",CHASISFD3WDA 10826,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-OFF,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMZ,Straight Line Dep. based on acquisition date,5,0,06/12/2016,06/12/2016,34200,-2172.54,32027.46,,,,,,,,0,
